iter	Passed	Remaining
0	2	2127
1	4	2025
2	6	2111
3	8	2060
4	10	1993
5	11	1927
6	13	1888
7	15	1882
8	16	1825
9	18	1815
10	20	1809
11	21	1809
12	23	1781
13	24	1757
14	26	1744
15	28	1729
16	29	1713
17	31	1701
18	32	1702
19	34	1704
20	36	1710
21	38	1710
22	40	1706
23	42	1709
24	43	1701
25	44	1685
26	46	1681
27	48	1667
28	49	1651
29	50	1633
30	51	1616
31	52	1599
32	53	1582
33	55	1566
34	56	1566
35	58	1562
36	59	1552
37	61	1544
38	62	1535
39	63	1524
40	64	1515
41	66	1509
42	67	1506
43	69	1500
44	70	1491
45	71	1482
46	72	1477
47	74	1472
48	75	1467
49	77	1467
50	78	1467
51	80	1462
52	81	1457
53	82	1449
54	84	1443
55	85	1436
56	86	1430
57	87	1428
58	89	1427
59	90	1424
60	92	1418
61	93	1413
62	94	1408
63	95	1402
64	97	1397
65	98	1397
66	100	1393
67	101	1387
68	102	1383
69	103	1377
70	104	1372
71	106	1368
72	107	1364
73	109	1364
74	110	1364
75	112	1361
76	113	1358
77	114	1354
78	115	1350
79	117	1346
80	118	1342
81	120	1345
82	121	1345
83	123	1342
84	124	1338
85	126	1339
86	127	1341
87	129	1342
88	130	1340
89	132	1338
90	133	1334
91	134	1330
92	135	1325
93	137	1322
94	138	1319
95	139	1316
96	141	1317
97	143	1316
98	144	1313
99	145	1310
100	146	1307
101	147	1302
102	149	1298
103	150	1297
104	151	1295
105	153	1292
106	154	1289
107	155	1286
108	157	1284
109	158	1281
110	159	1278
111	161	1277
112	162	1276
113	163	1274
114	165	1271
115	166	1269
116	167	1266
117	169	1263
118	170	1263
119	172	1262
120	173	1263
121	175	1261
122	176	1258
123	177	1255
124	178	1252
125	180	1249
126	181	1247
127	183	1247
128	184	1247
129	185	1244
130	187	1242
131	188	1239
132	189	1236
133	190	1233
134	192	1230
135	193	1230
136	195	1228
137	196	1226
138	197	1223
139	198	1221
140	200	1219
141	201	1216
142	202	1213
143	203	1212
144	205	1212
145	206	1209
146	208	1207
147	209	1204
148	210	1200
149	211	1198
150	212	1195
151	214	1194
152	215	1193
153	216	1190
154	217	1188
155	219	1185
156	220	1182
157	221	1179
158	222	1177
159	223	1174
160	225	1173
161	226	1172
162	227	1170
163	229	1168
164	230	1166
165	231	1164
166	233	1162
167	234	1160
168	236	1161
169	237	1160
170	239	1159
171	240	1157
172	241	1154
173	242	1152
174	243	1150
175	245	1149
176	247	1149
177	248	1148
178	249	1146
179	251	1144
180	252	1141
181	253	1139
182	254	1137
183	256	1137
184	257	1136
185	259	1134
186	260	1133
187	261	1130
188	263	1128
189	264	1126
190	265	1124
191	267	1124
192	268	1123
193	270	1122
194	271	1121
195	272	1119
196	274	1117
197	275	1115
198	276	1114
199	278	1113
200	279	1112
201	281	1110
202	282	1108
203	283	1106
204	284	1104
205	285	1102
206	287	1100
207	288	1099
208	290	1097
209	291	1095
210	292	1093
211	293	1091
212	294	1089
213	295	1086
214	297	1085
215	298	1084
216	300	1082
217	301	1080
218	302	1078
219	303	1076
220	304	1074
221	306	1073
222	307	1071
223	309	1070
224	310	1070
225	311	1068
226	313	1066
227	314	1064
228	315	1062
229	316	1060
230	318	1058
231	319	1058
232	321	1058
233	322	1057
234	324	1056
235	326	1055
236	327	1053
237	328	1052
238	330	1051
239	331	1050
240	332	1048
241	333	1045
242	335	1043
243	336	1041
244	337	1039
245	338	1037
246	339	1035
247	341	1034
248	342	1033
249	343	1031
250	344	1029
251	346	1027
252	347	1025
253	348	1023
254	350	1022
255	351	1022
256	353	1020
257	354	1018
258	355	1017
259	356	1015
260	358	1014
261	359	1012
262	361	1011
263	362	1011
264	364	1009
265	365	1008
266	367	1007
267	368	1006
268	369	1005
269	371	1004
270	373	1003
271	374	1001
272	375	999
273	376	998
274	378	996
275	379	995
276	380	994
277	382	993
278	384	992
279	385	990
280	386	989
281	387	987
282	388	985
283	390	983
284	391	981
285	392	980
286	394	979
287	395	977
288	396	975
289	397	974
290	399	972
291	400	970
292	401	968
293	402	967
294	404	965
295	405	964
296	406	962
297	407	960
298	408	958
299	409	956
300	410	953
301	411	952
302	413	950
303	414	949
304	416	948
305	417	946
306	418	944
307	419	943
308	420	941
309	422	939
310	423	938
311	425	938
312	427	937
313	428	936
314	429	934
315	431	933
316	432	932
317	434	930
318	435	929
319	437	928
320	438	926
321	439	925
322	440	923
323	441	921
324	442	920
325	444	918
326	445	916
327	446	915
328	448	913
329	449	911
330	450	910
331	451	908
332	452	906
333	453	904
334	455	903
335	456	902
336	458	901
337	459	899
338	460	898
339	461	896
340	463	894
341	464	893
342	465	891
343	467	890
344	468	889
345	469	887
346	471	886
347	472	884
348	473	883
349	474	881
350	476	880
351	477	879
352	479	878
353	480	876
354	481	874
355	482	873
356	483	871
357	485	870
358	486	869
359	488	868
360	489	866
361	490	864
362	492	863
363	493	861
364	494	859
365	495	858
366	496	856
367	498	855
368	499	854
369	500	852
370	502	851
371	503	850
372	504	848
373	506	847
374	507	845
375	508	844
376	510	843
377	511	841
378	512	839
379	513	838
380	514	836
381	516	835
382	517	833
383	519	832
384	520	831
385	521	829
386	522	827
387	523	826
388	524	824
389	526	822
390	527	821
391	528	819
392	529	818
393	531	816
394	532	815
395	533	813
396	534	812
397	535	810
398	537	808
399	538	807
400	539	805
401	540	804
402	542	803
403	543	801
404	544	800
405	546	798
406	547	797
407	549	797
408	550	795
409	552	794
410	553	793
411	555	792
412	556	790
413	557	789
414	558	787
415	560	786
416	562	785
417	563	784
418	564	782
419	565	781
420	567	779
421	568	778
422	569	776
423	571	775
424	572	774
425	573	773
426	575	771
427	576	770
428	577	768
429	578	767
430	579	765
431	581	764
432	582	763
433	584	762
434	585	760
435	587	759
436	588	758
437	589	756
438	591	755
439	593	754
440	594	753
441	595	752
442	597	750
443	598	749
444	599	748
445	601	746
446	603	746
447	604	744
448	605	743
449	607	742
450	608	740
451	610	739
452	611	738
453	613	737
454	614	736
455	616	735
456	617	733
457	618	732
458	619	730
459	621	729
460	622	728
461	624	727
462	625	726
463	627	724
464	629	723
465	630	722
466	631	721
467	633	720
468	635	719
469	636	718
470	638	716
471	639	715
472	640	714
473	642	712
474	643	711
475	645	710
476	646	709
477	648	707
478	649	706
479	650	704
480	651	703
481	652	701
482	654	700
483	655	698
484	656	697
485	658	696
486	659	694
487	660	693
488	661	691
489	662	690
490	664	688
491	665	687
492	667	686
493	668	684
494	669	683
495	670	681
496	672	680
497	673	678
498	674	677
499	676	676
500	677	674
501	678	673
502	680	671
503	681	670
504	682	669
505	684	667
506	685	666
507	687	665
508	688	664
509	690	663
510	691	661
511	692	660
512	694	658
513	695	657
514	696	656
515	698	654
516	699	653
517	700	651
518	701	650
519	702	648
520	703	647
521	705	645
522	706	644
523	708	643
524	709	641
525	710	640
526	712	639
527	713	637
528	714	636
529	715	634
530	717	633
531	719	632
532	720	631
533	721	629
534	723	628
535	724	627
536	725	625
537	727	624
538	728	623
539	730	621
540	731	620
541	732	619
542	733	617
543	735	616
544	736	614
545	737	613
546	739	612
547	740	610
548	742	609
549	743	608
550	745	607
551	746	605
552	747	604
553	748	602
554	750	601
555	751	600
556	753	599
557	754	597
558	755	596
559	757	594
560	758	593
561	760	592
562	761	591
563	762	589
564	764	588
565	765	586
566	766	585
567	767	584
568	769	582
569	770	581
570	772	580
571	773	578
572	774	577
573	775	575
574	776	574
575	778	572
576	779	571
577	780	570
578	782	568
579	783	567
580	785	566
581	786	564
582	787	563
583	789	562
584	790	560
585	791	559
586	793	558
587	794	556
588	796	555
589	797	553
590	798	552
591	799	551
592	800	549
593	802	548
594	803	547
595	805	545
596	806	544
597	807	542
598	808	541
599	810	540
600	811	538
601	812	537
602	814	536
603	815	534
604	816	533
605	818	531
606	819	530
607	820	528
608	821	527
609	822	525
610	823	524
611	825	523
612	826	521
613	828	520
614	829	519
615	830	517
616	832	516
617	833	515
618	834	513
619	835	512
620	837	511
621	838	509
622	840	508
623	841	506
624	842	505
625	843	504
626	844	502
627	846	501
628	847	499
629	849	498
630	850	497
631	851	495
632	852	494
633	853	492
634	855	491
635	856	490
636	858	489
637	859	487
638	860	486
639	862	484
640	863	483
641	864	482
642	865	480
643	866	479
644	868	477
645	869	476
646	871	475
647	872	473
648	873	472
649	874	471
650	876	469
651	877	468
652	878	467
653	880	465
654	881	464
655	882	462
656	884	461
657	885	460
658	886	458
659	888	457
660	889	456
661	891	455
662	892	453
663	893	452
664	895	450
665	896	449
666	897	448
667	898	446
668	900	445
669	901	444
670	903	442
671	904	441
672	905	440
673	907	438
674	908	437
675	909	436
676	911	434
677	912	433
678	913	431
679	914	430
680	915	429
681	917	427
682	918	426
683	919	424
684	921	423
685	923	422
686	924	421
687	926	419
688	927	418
689	929	417
690	930	416
691	932	415
692	934	413
693	935	412
694	937	411
695	938	409
696	940	408
697	941	407
698	943	406
699	944	404
700	946	403
701	947	402
702	949	401
703	950	399
704	952	398
705	954	397
706	955	395
707	956	394
708	958	393
709	959	391
710	960	390
711	962	389
712	963	387
713	965	386
714	966	385
715	968	384
716	969	382
717	971	381
718	972	380
719	974	378
720	975	377
721	977	376
722	978	374
723	979	373
724	980	372
725	982	370
726	983	369
727	985	368
728	986	366
729	987	365
730	988	363
731	990	362
732	991	361
733	992	359
734	994	358
735	995	357
736	997	355
737	998	354
738	999	352
739	1000	351
740	1001	350
741	1002	348
742	1004	347
743	1005	346
744	1007	344
745	1008	343
746	1009	341
747	1010	340
748	1012	339
749	1013	337
750	1014	336
751	1016	335
752	1018	334
753	1019	332
754	1020	331
755	1022	329
756	1023	328
757	1024	327
758	1026	325
759	1027	324
760	1028	323
761	1030	321
762	1031	320
763	1032	318
764	1033	317
765	1034	316
766	1035	314
767	1037	313
768	1038	311
769	1039	310
770	1040	309
771	1041	307
772	1043	306
773	1044	304
774	1045	303
775	1047	302
776	1048	300
777	1049	299
778	1050	298
779	1052	296
780	1053	295
781	1054	294
782	1056	292
783	1057	291
784	1059	290
785	1060	288
786	1062	287
787	1063	286
788	1064	284
789	1066	283
790	1067	282
791	1069	280
792	1070	279
793	1071	278
794	1073	276
795	1074	275
796	1075	273
797	1076	272
798	1078	271
799	1079	269
800	1081	268
801	1082	267
802	1083	265
803	1084	264
804	1086	263
805	1087	261
806	1088	260
807	1090	259
808	1091	257
809	1092	256
810	1093	254
811	1095	253
812	1096	252
813	1097	250
814	1098	249
815	1100	248
816	1101	246
817	1102	245
818	1103	243
819	1105	242
820	1106	241
821	1107	239
822	1109	238
823	1110	237
824	1112	235
825	1113	234
826	1114	233
827	1116	231
828	1117	230
829	1118	229
830	1120	227
831	1121	226
832	1122	225
833	1123	223
834	1125	222
835	1126	220
836	1127	219
837	1128	218
838	1129	216
839	1131	215
840	1132	214
841	1134	212
842	1135	211
843	1136	210
844	1137	208
845	1139	207
846	1140	206
847	1142	204
848	1143	203
849	1144	202
850	1146	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1152	193
856	1153	192
857	1154	191
858	1155	189
859	1156	188
860	1157	186
861	1159	185
862	1160	184
863	1161	182
864	1163	181
865	1164	180
866	1165	178
867	1167	177
868	1168	176
869	1169	174
870	1170	173
871	1172	172
872	1173	170
873	1175	169
874	1176	168
875	1177	166
876	1179	165
877	1180	163
878	1181	162
879	1182	161
880	1184	159
881	1185	158
882	1186	157
883	1188	155
884	1189	154
885	1190	153
886	1191	151
887	1192	150
888	1194	149
889	1196	147
890	1197	146
891	1198	145
892	1200	143
893	1201	142
894	1202	141
895	1204	139
896	1205	138
897	1207	137
898	1208	135
899	1209	134
900	1210	133
901	1211	131
902	1213	130
903	1214	128
904	1216	127
905	1217	126
906	1218	124
907	1220	123
908	1221	122
909	1222	120
910	1223	119
911	1224	118
912	1226	116
913	1227	115
914	1229	114
915	1230	112
916	1231	111
917	1232	110
918	1233	108
919	1234	107
920	1236	106
921	1237	104
922	1238	103
923	1239	101
924	1240	100
925	1242	99
926	1243	97
927	1244	96
928	1246	95
929	1248	93
930	1249	92
