iter	RMSE
0	1.2149298
1	1.17454811
2	1.136111629
3	1.099127971
4	1.065352477
5	1.033122076
6	1.003176837
7	0.9753377331
8	0.9504549925
9	0.9260669807
10	0.9035434377
11	0.8816410347
12	0.8610977789
13	0.8414082897
14	0.8242949922
15	0.8085469356
16	0.7942637584
17	0.7802623965
18	0.7675637168
19	0.755533428
20	0.7441815403
21	0.7336626232
22	0.7240706953
23	0.7146062211
24	0.7069203466
25	0.6993410369
26	0.6927173822
27	0.6863139178
28	0.6800988167
29	0.6741515726
30	0.6689520998
31	0.6637463315
32	0.6585145449
33	0.6542020358
34	0.6502638055
35	0.6459762684
36	0.6422292143
37	0.6386446833
38	0.634875349
39	0.6320062863
40	0.6294241705
41	0.6269097772
42	0.6244529773
43	0.6220965606
44	0.6202786389
45	0.6180278682
46	0.6161959876
47	0.614591215
48	0.6131268392
49	0.6116505949
50	0.6100180674
51	0.6085953971
52	0.6068914634
53	0.6056440221
54	0.6037533857
55	0.6024368698
56	0.6012367903
57	0.6000244722
58	0.5987170893
59	0.5974189187
60	0.5966081432
61	0.5952202234
62	0.5937655634
63	0.592618456
64	0.5916289456
65	0.5905436192
66	0.5896142675
67	0.5886966311
68	0.5879184683
69	0.586810374
70	0.5858867133
71	0.5851123071
72	0.5842541268
73	0.5837397049
74	0.5828515537
75	0.5821947807
76	0.5814045709
77	0.5804504952
78	0.5796712541
79	0.5788455634
80	0.5782256734
81	0.5778928157
82	0.5769590739
83	0.5762826688
84	0.5757658611
85	0.575242733
86	0.5747821255
87	0.5738094903
88	0.5732076798
89	0.5727188953
90	0.5720830458
91	0.5711146918
92	0.5706693179
93	0.5695807618
94	0.5691406174
95	0.568849667
96	0.5682916431
97	0.5674283631
98	0.5670973385
99	0.5667021889
100	0.5661391402
101	0.5656564517
102	0.5648640911
103	0.5642290132
104	0.5636257028
105	0.5631608665
106	0.562548159
107	0.5621053794
108	0.5613891058
109	0.560930924
110	0.5605868485
111	0.5601019035
112	0.559622427
113	0.5591982179
114	0.5584655799
115	0.557995151
116	0.5575149029
117	0.5567616656
118	0.556048386
119	0.5556655994
120	0.5551813496
121	0.5546344437
122	0.5542331064
123	0.5536403071
124	0.5533223109
125	0.5529137168
126	0.5524660872
127	0.5518533949
128	0.5515358757
129	0.5512391439
130	0.5506999507
131	0.5502036542
132	0.5495033922
133	0.5489614847
134	0.5485248552
135	0.5483200037
136	0.5473093409
137	0.5468003499
138	0.5463692052
139	0.5460150102
140	0.5452207242
141	0.5446093334
142	0.544230368
143	0.5438669481
144	0.5432339559
145	0.5429760153
146	0.5426874318
147	0.5423843429
148	0.5417315687
149	0.541193646
150	0.5407982265
151	0.5402714817
152	0.5398708406
153	0.5393194331
154	0.538928684
155	0.5385140302
156	0.5381265838
157	0.5378562438
158	0.5371866691
159	0.5368041896
160	0.5362440964
161	0.5356941274
162	0.5348892272
163	0.5345779582
164	0.5341839364
165	0.5336744
166	0.5333371904
167	0.5327201384
168	0.5323341019
169	0.531817003
170	0.53095866
171	0.5306365248
172	0.5302761275
173	0.5299436333
174	0.5294387805
175	0.5290070618
176	0.5287197193
177	0.5284799239
178	0.5278889066
179	0.5276134283
